id_venta,fecha,producto,categoria,precio,cantidad,ventas
1,2024-01-01,Monitor,Accesorios,659.45,6,3956.7000000000003
2,2024-01-02,Impresora,Accesorios,1594.47,2,3188.94
3,2024-01-03,Teclado,Accesorios,556.25,3,1668.75
4,2024-01-04,Impresora,Oficina,889.16,5,
5,2024-01-05,Impresora,Oficina,175.34,9,1578.06
6,2024-01-06,Mouse,Tecnología,70.19,2,140.38
7,2024-01-07,Teclado,Tecnología,1926.04,8,15408.32
8,2024-01-08,Teclado,Oficina,1675.24,2,3350.48
9,2024-01-09,Teclado,Accesorios,1398.03,5,6990.15
10,2024-01-10,Impresora,Tecnología,829.73,7,5808.110000000001
11,2024-01-11,Monitor,Oficina,363.12,8,2904.96
12,2024-01-12,Teclado,Oficina,329.75,1,329.75
13,2024-01-13,Impresora,Oficina,515.48,6,3092.88
14,2024-01-14,Mouse,Accesorios,1107.47,1,1107.47
15,2024-01-15,Monitor,Oficina,1434.9,2,2869.8
16,2024-01-16,Mouse,Oficina,1327.19,1,1327.19
17,2024-01-17,Monitor,Oficina,574.27,5,2871.35
18,2024-01-18,Impresora,Oficina,1910.63,9,17195.670000000002
19,2024-01-19,Laptop,Tecnología,1481.04,6,8886.24
20,2024-01-20,Monitor,Tecnología,1117.62,1,1117.62
21,2024-01-21,Mouse,Oficina,1231.21,1,1231.21
22,2024-01-22,Impresora,Accesorios,850.81,2,1701.62
23,2024-01-23,Monitor,Tecnología,510.51,9,4594.59
24,2024-01-24,Laptop,Oficina,724.83,3,2174.4900000000002
25,2024-01-25,Laptop,Tecnología,1520.54,1,1520.54
26,2024-01-26,Teclado,Tecnología,48.5,5,242.5
27,2024-01-27,Teclado,Accesorios,249.82,7,1748.74
28,2024-01-28,Mouse,Oficina,111.09,6,666.54
29,2024-01-29,Monitor,Oficina,100.64,1,100.64
30,2024-01-30,Monitor,Accesorios,1713.81,5,8569.05
31,2024-01-31,Teclado,Accesorios,1413.24,5,7066.2
32,2024-02-01,Monitor,Oficina,958.86,6,5753.16
33,2024-02-02,Monitor,Oficina,213.71,3,641.13
34,2024-02-03,Laptop,Accesorios,993.4,5,4967.0
35,2024-02-04,Teclado,Tecnología,957.47,7,6702.29
36,2024-02-05,Impresora,Tecnología,362.94,5,1814.7
37,2024-02-06,Teclado,Accesorios,879.03,5,4395.15
38,2024-02-07,Impresora,Tecnología,809.04,5,4045.2
39,2024-02-08,Laptop,Accesorios,1239.38,3,3718.1400000000003
40,2024-02-09,Mouse,Tecnología,1277.49,1,1277.49
41,2024-02-10,Monitor,Tecnología,109.7,5,548.5
42,2024-02-11,Laptop,Oficina,761.73,9,6855.57
43,2024-02-12,Monitor,Oficina,1259.2,1,1259.2
44,2024-02-13,Mouse,Tecnología,1016.21,3,3048.63
45,2024-02-14,Mouse,Tecnología,1715.85,4,6863.4
46,2024-02-15,Laptop,Oficina,1324.21,1,1324.21
47,2024-02-16,Mouse,Oficina,342.61,1,342.61
48,2024-02-17,Impresora,Oficina,159.73,8,1277.84
49,2024-02-18,Mouse,Accesorios,1291.99,2,2583.98
50,2024-02-19,Monitor,Tecnología,72.49,8,579.92
51,2024-02-20,Monitor,Oficina,1179.84,7,8258.88
52,2024-02-21,Monitor,Tecnología,1881.66,2,3763.32
53,2024-02-22,Monitor,Accesorios,1159.44,6,6956.64
54,2024-02-23,Impresora,Accesorios,788.58,6,4731.4800000000005
55,2024-02-24,Teclado,Oficina,1293.71,3,3881.13
56,2024-02-25,Laptop,Accesorios,927.34,2,1854.68
57,2024-02-26,Monitor,Tecnología,1100.32,1,1100.32
58,2024-02-27,Mouse,Oficina,1884.1,6,11304.599999999999
59,2024-02-28,Monitor,Tecnología,784.48,5,3922.4
60,2024-02-29,Mouse,Tecnología,1923.16,9,17308.440000000002
61,2024-03-01,Mouse,Accesorios,1812.59,1,1812.59
62,2024-03-02,Monitor,Accesorios,407.67,7,
63,2024-03-03,Impresora,Accesorios,157.34,5,786.7
64,2024-03-04,Mouse,Accesorios,219.54,5,1097.7
65,2024-03-05,Mouse,Accesorios,56.08,2,112.16
66,2024-03-06,Monitor,Oficina,207.0,3,621.0
67,2024-03-07,Mouse,Tecnología,1372.35,7,9606.449999999999
68,2024-03-08,Mouse,Tecnología,160.95,6,965.6999999999999
69,2024-03-09,Monitor,Tecnología,651.57,2,1303.14
70,2024-03-10,Monitor,Tecnología,1692.85,6,10157.099999999999
71,2024-03-11,Laptop,Accesorios,66.08,2,132.16
72,2024-03-12,Impresora,Tecnología,1632.65,2,3265.3
73,2024-03-13,Impresora,Oficina,578.07,2,1156.14
74,2024-03-14,Mouse,Oficina,253.97,3,761.91
75,2024-03-15,Impresora,Tecnología,1399.54,2,
76,2024-03-16,Mouse,Tecnología,1265.31,4,5061.24
77,2024-03-17,Laptop,Oficina,1757.39,9,15816.51
78,2024-03-18,Monitor,Oficina,1475.44,6,8852.64
79,2024-03-19,Monitor,Accesorios,1610.89,1,
80,2024-03-20,Monitor,Oficina,578.43,8,4627.44
81,2024-03-21,Impresora,Accesorios,371.33,7,2599.31
82,2024-03-22,Laptop,Accesorios,1506.22,3,4518.66
83,2024-03-23,Impresora,Accesorios,1617.53,1,1617.53
84,2024-03-24,Impresora,Accesorios,1981.2,5,9906.0
85,2024-03-25,Laptop,Accesorios,836.98,4,3347.92
86,2024-03-26,Laptop,Tecnología,756.6,8,6052.8
87,2024-03-27,Laptop,Oficina,1557.3,1,1557.3
88,2024-03-28,Laptop,Accesorios,694.79,1,694.79
89,2024-03-29,Monitor,Oficina,1862.9,4,7451.6
90,2024-03-30,Teclado,Oficina,1719.66,8,13757.28
91,2024-03-31,Teclado,Accesorios,869.41,5,4347.05
92,2024-04-01,Laptop,Tecnología,1506.72,2,3013.44
93,2024-04-02,Teclado,Accesorios,1513.99,6,9083.94
94,2024-04-03,Teclado,Tecnología,224.19,5,
95,2024-04-04,Laptop,Oficina,1807.05,2,3614.1
96,2024-04-05,Teclado,Tecnología,1020.4,3,3061.2
97,2024-04-06,Impresora,Tecnología,1656.39,9,14907.51
98,2024-04-07,Mouse,Tecnología,653.7,7,4575.900000000001
99,2024-04-08,Mouse,Oficina,1793.14,7,12551.980000000001
100,2024-04-09,Laptop,Oficina,790.62,6,4743.72
101,2024-04-10,Monitor,Tecnología,41.46,8,331.68
102,2024-04-11,Laptop,Tecnología,1812.66,4,7250.64
103,2024-04-12,Monitor,Accesorios,200.75,8,1606.0
104,2024-04-13,Mouse,Tecnología,652.24,4,2608.96
105,2024-04-14,Laptop,Accesorios,1901.12,8,15208.96
106,2024-04-15,Impresora,Tecnología,1902.2,9,17119.8
107,2024-04-16,Teclado,Accesorios,1155.41,3,3466.2300000000005
108,2024-04-17,Monitor,Oficina,1271.04,3,3813.12
109,2024-04-18,Teclado,Tecnología,907.92,2,1815.84
110,2024-04-19,Teclado,Tecnología,600.56,3,1801.6799999999998
111,2024-04-20,Laptop,Tecnología,670.76,3,2012.28
112,2024-04-21,Teclado,Tecnología,1351.59,5,6757.95
113,2024-04-22,Impresora,Accesorios,1509.7,5,
114,2024-04-23,Teclado,Tecnología,1587.33,2,3174.66
115,2024-04-24,Laptop,Oficina,1583.44,6,9500.64
116,2024-04-25,Impresora,Oficina,200.59,5,1002.95
117,2024-04-26,Mouse,Tecnología,998.95,6,5993.700000000001
118,2024-04-27,Teclado,Oficina,133.97,1,
119,2024-04-28,Laptop,Tecnología,1108.07,5,5540.349999999999
120,2024-04-29,Mouse,Tecnología,894.23,9,8048.07
121,2024-04-30,Mouse,Oficina,1777.65,2,3555.3
122,2024-05-01,Monitor,Tecnología,714.81,1,714.81
123,2024-05-02,Impresora,Oficina,251.79,9,2266.11
124,2024-05-03,Teclado,Accesorios,303.12,9,2728.08
125,2024-05-04,Laptop,Tecnología,1527.79,9,13750.11
126,2024-05-05,Monitor,Accesorios,1244.07,6,7464.42
127,2024-05-06,Impresora,Oficina,220.22,8,1761.76
128,2024-05-07,Monitor,Accesorios,186.53,1,186.53
129,2024-05-08,Impresora,Accesorios,1407.92,4,5631.68
130,2024-05-09,Impresora,Oficina,164.07,1,164.07
131,2024-05-10,Teclado,Accesorios,1647.28,8,13178.24
132,2024-05-11,Impresora,Accesorios,1418.36,1,1418.36
133,2024-05-12,Monitor,Oficina,181.07,3,543.21
134,2024-05-13,Impresora,Accesorios,187.98,4,
135,2024-05-14,Teclado,Oficina,1973.55,8,15788.4
136,2024-05-15,Teclado,Accesorios,761.06,6,4566.36
137,2024-05-16,Monitor,Oficina,753.87,7,5277.09
138,2024-05-17,Mouse,Oficina,1629.34,8,13034.72
139,2024-05-18,Mouse,Accesorios,1895.55,2,3791.1
140,2024-05-19,Impresora,Accesorios,1972.28,8,15778.24
141,2024-05-20,Laptop,Accesorios,1511.69,3,4535.07
142,2024-05-21,Impresora,Tecnología,764.99,7,5354.93
143,2024-05-22,Monitor,Tecnología,185.33,3,555.99
144,2024-05-23,Monitor,Tecnología,1558.75,7,10911.25
145,2024-05-24,Monitor,Oficina,1125.64,2,2251.28
146,2024-05-25,Monitor,Accesorios,859.96,6,5159.76
147,2024-05-26,Monitor,Oficina,1814.58,3,5443.74
148,2024-05-27,Teclado,Tecnología,240.17,3,720.51
149,2024-05-28,Mouse,Accesorios,995.4,9,8958.6
150,2024-05-29,Monitor,Oficina,42.48,7,297.35999999999996
151,2024-05-30,Laptop,Accesorios,947.95,5,4739.75
152,2024-05-31,Laptop,Oficina,131.48,7,920.3599999999999
153,2024-06-01,Laptop,Accesorios,255.26,9,2297.34
154,2024-06-02,Laptop,Tecnología,252.7,1,252.7
155,2024-06-03,Teclado,Tecnología,1305.44,7,9138.08
156,2024-06-04,Laptop,Accesorios,1497.17,6,8983.02
157,2024-06-05,Monitor,Oficina,1175.07,9,10575.63
158,2024-06-06,Impresora,Tecnología,1925.1,1,1925.1
159,2024-06-07,Laptop,Tecnología,762.24,4,3048.96
160,2024-06-08,Teclado,Tecnología,585.71,9,5271.39
161,2024-06-09,Teclado,Accesorios,1739.83,4,6959.32
162,2024-06-10,Laptop,Accesorios,462.72,3,1388.16
163,2024-06-11,Impresora,Oficina,1927.18,9,17344.62
164,2024-06-12,Laptop,Oficina,44.07,2,88.14
165,2024-06-13,Teclado,Oficina,1940.36,4,7761.44
166,2024-06-14,Mouse,Accesorios,105.46,6,632.76
167,2024-06-15,Monitor,Accesorios,1784.46,2,3568.92
168,2024-06-16,Teclado,Oficina,1064.85,8,8518.8
169,2024-06-17,Laptop,Oficina,1986.07,8,15888.56
170,2024-06-18,Monitor,Accesorios,166.12,1,166.12
171,2024-06-19,Laptop,Oficina,1116.63,3,3349.8900000000003
172,2024-06-20,Laptop,Tecnología,1939.22,9,17452.98
173,2024-06-21,Mouse,Accesorios,1055.73,5,5278.65
174,2024-06-22,Monitor,Oficina,1266.21,6,7597.26
175,2024-06-23,Monitor,Accesorios,1397.58,4,5590.32
176,2024-06-24,Mouse,Tecnología,919.99,2,1839.98
